X;Y
1,192207196;0,298878188
0,206684552;2,877857139
2,424572407;1,316305535
0,068334083;2,376521949
1,270711446;2,867283648
2,121279832;2,124095463
0,539130543;0,97062513
1,387756514;1,538666384
-1,891384453;1,777541177
0,450962925;2,688825512
0,685032071;3,048780617
2,570467943;1,203234286
1,725235028;2,895873417
-0,785298446;2,697832294
2,319853634;2,765592709
1,462200327;3,457421101
1,935015732;3,942303254
-0,018539766;0,24291286
1,411936732;1,741006479
2,590482887;1,466687612
0,381757159;3,266708574
0,617609917;1,293885788
0,605653681;1,48718099
1,862627222;2,654476584
1,952594843;1,209043211
0,98561008;1,078367774
0,387007173;2,933350331
2,321433056;3,186153178
3,633899531;1,508054687
-0,018502206;1,850528619
-0,042600265;-0,054102761
0,256177533;2,627071268
1,381691882;0,723994027
-0,66054183;2,134605594
0,414032496;2,650263919
1,221801018;1,791258227
2,697400657;1,672246407
0,669197137;1,596560739
1,846037305;1,422464047
-0,174026628;2,896289731
0,174477078;2,056129633
0,908472796;2,144992648
1,294703164;2,447178642
0,887626608;1,181559935
1,154452066;0,944836331
1,950969169;1,100125012
1,277911664;1,143256465
1,979559762;2,167001748
-1,271702442;4,50980363
-0,588309884;0,829834291
6,778620394;2,804187394
6,400350357;1,784503296
6,787660137;0,667142478
5,204692899;2,854734997
6,369432593;3,172871815
6,896412085;2,975783929
8,767156044;1,338534377
5,809819062;3,532773215
6,90831975;3,643347525
7,02934944;2,414553694
7,727183478;1,697156773
7,776871957;1,673574557
6,050924485;2,223464082
6,283143306;3,273336958
6,759435409;1,834387163
5,540687346;2,06678311
8,051891118;0,400906109
6,334921668;2,084848328
5,377323881;2,937601493
5,788287553;2,892114158
6,384443255;2,392162285
5,876981285;1,500337684
6,815898049;1,174814447
7,636591189;2,098207856
5,829949506;1,855534893
6,381642139;2,991491636
6,730569896;0,339640328
8,007636972;2,136171185
6,236233513;4,59192204
5,99646245;2,611490053
6,107853684;3,11404074
7,761763862;2,985619023
6,594910929;3,032594394
6,951891501;2,285251955
4,557340141;1,483834047
5,849740274;1,31666404
4,622427895;3,010950023
7,888636924;0,957206851
6,77406294;2,155204518
6,78370099;0,87833527
7,133828099;2,715165085
6,119747945;2,148666919
6,744979014;4,2535822
6,457434924;0,985142169
6,35565594;2,085540384
7,042913782;1,031398444
7,331591075;1,704836736
7,196473569;2,533142039
7,444966891;1,747053193
5,844402241;3,441001571
7,104372365;2,764586829
8,173861993;2,054592426
8,136503349;1,70084946
4,637048896;2,310355515
3,654167678;1,713345357
6,693355164;1,21428731
7,924955901;0,936968535
5,475833419;2,248953479
6,936697343;2,448561568
7,124852944;3,758940589
7,747745047;2,791402641
6,87257725;2,608989754
7,245501783;0,891706423
7,401520437;1,940517029
6,290612433;1,09816201
6,934034146;3,147130237
6,687517555;1,756782143
6,191431865;1,935724671
8,499674855;2,476373602
7,422111779;3,693896106
7,208152753;2,270811035
6,448864078;1,813109993
5,900739084;3,056841928
6,992726271;0,442979827
8,192172769;3,622928769
8,016875751;1,547943352
9,377336969;1,287281847
5,846990976;2,862641809
8,324308629;2,385937604
5,541415925;1,226269168
6,820072348;3,804435757
7,995428425;1,855190969
5,322046323;2,693761625
6,075043363;2,429568957
8,945244974;0,505951767
8,569036676;2,913603329
8,421021697;2,472088019
6,065401553;1,286486127
6,738311225;1,807618757
6,173717269;2,848577107
6,074795489;-0,634155058
8,272468116;2,154807471
8,486320462;3,366979201
8,199781383;1,724595386
5,924291376;4,443697866
6,068800412;1,280189557
7,246676348;1,150862315
5,713327304;0,127822823
7,2344761;1,856898441
6,981732366;1,140145329
3,661456851;6,712140422
4,482759386;7,543410622
5,12159728;6,587691144
4,006214128;6,284162012
4,428307852;7,070482529
4,005085458;6,338702359
3,919693416;7,010999824
2,554667635;7,360810188
5,217793004;6,925692993
6,772420928;5,20222397
3,939334177;6,429761335
4,009881579;4,663284056
4,832780546;4,204166866
4,818325798;8,117960607
4,697898195;6,885121027
4,88879735;7,864648373
3,486185725;7,116754532
4,250032419;5,087005461
5,510020964;5,831530033
4,903423171;5,737010324
2,353608508;6,67789655
5,058120684;7,767051635
4,222616737;7,651466648
4,493298365;5,354857096
4,607251938;7,924273184
4,506662377;7,761371131
4,095200056;7,065976403
3,515778525;6,924983421
2,938313739;7,51522939
5,412624173;7,134148426
4,825976439;4,327779961
5,560702027;5,407634657
5,652308314;5,739023969
4,391774879;7,268813215
4,421593498;7,791016202
4,370688672;6,188359563
6,500329536;5,608037743
4,293595299;7,827811019
3,514753528;5,888291639
4,559746677;6,515200324
3,276241702;6,174497247
5,753217354;6,513911839
2,217235791;5,574577609
4,186619322;6,941619032
3,973173591;7,914253718
4,04635655;5,292338828
3,814961862;7,570188838
5,95772157;4,806062185
3,763878033;6,652682251
3,607704608;6,600321101
